2025-12-19 17:26:35 | INFO     | app | 🚀 Starting Messaging Platform...
2025-12-19 17:26:35 | INFO     | app | ✅ Redis connected
2025-12-19 17:26:35 | INFO     | sqlalchemy.engine.Engine | SELECT DATABASE()
2025-12-19 17:26:35 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:26:35 | INFO     | sqlalchemy.engine.Engine | SELECT @@sql_mode
2025-12-19 17:26:35 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:26:35 | INFO     | sqlalchemy.engine.Engine | SELECT @@lower_case_table_names
2025-12-19 17:26:35 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:26:35 | INFO     | sqlalchemy.engine.Engine | BEGIN (implicit)
2025-12-19 17:26:35 | INFO     | sqlalchemy.engine.Engine | DESCRIBE `chatapp`.`users`
2025-12-19 17:26:35 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:26:36 | INFO     | sqlalchemy.engine.Engine | DESCRIBE `chatapp`.`conversations`
2025-12-19 17:26:36 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:26:36 | INFO     | sqlalchemy.engine.Engine | DESCRIBE `chatapp`.`conversation_members`
2025-12-19 17:26:36 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:26:36 | INFO     | sqlalchemy.engine.Engine | DESCRIBE `chatapp`.`messages`
2025-12-19 17:26:36 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:26:36 | INFO     | sqlalchemy.engine.Engine | DESCRIBE `chatapp`.`contacts`
2025-12-19 17:26:36 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:26:36 | INFO     | sqlalchemy.engine.Engine | COMMIT
2025-12-19 17:26:36 | INFO     | app | ✅ Database initialized
2025-12-19 17:26:36 | INFO     | app | [Socket] Event handlers registered
2025-12-19 17:26:36 | INFO     | app | ✅ Socket.IO events registered
2025-12-19 17:26:36 | INFO     | app | 🎉 Server is ready!
2025-12-19 17:26:36 | INFO     | app |    API Docs: http://localhost:8000/docs
2025-12-19 17:26:36 | INFO     | app |    Socket.IO: ws://localhost:8000/socket.io/
2025-12-19 17:37:31 | INFO     | app | ➡️  GET /docs
2025-12-19 17:37:31 | INFO     | app | ⬅️  GET /docs → 200
2025-12-19 17:37:32 | INFO     | app | ➡️  GET /openapi.json
2025-12-19 17:37:32 | INFO     | app | ⬅️  GET /openapi.json → 200
2025-12-19 17:47:14 | INFO     | app | ➡️  OPTIONS /api/v1/auth/register
2025-12-19 17:47:14 | WARNING  | app | ⬅️  OPTIONS /api/v1/auth/register → 400
2025-12-19 17:48:52 | INFO     | app | 👋 Shutting down...
